Lag,Window,Total Trades,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,Efficiency Ratio
1,8,16718,26.44455078,20290.64,1.213700203,19.5,11.4127137,5.543748021,-0.485751958,-0.089233162,-45.67,-0.086414643,75.53,24508.91,-4218.27,-5.709651481,0.479913463,2.118648682,1.108722226,1.213700203,13.60144792
1,7,17761,27.50971229,21198.28,1.193529644,24.42,10.84865624,5.236350798,-0.482672755,-0.103746411,-45.67,-0.063302179,75.53,25584.81,-4386.53,-5.933462928,0.50214997,2.099256651,1.09061417,1.193529644,11.50429818
1,6,18992,28.79106992,22483.51,1.183841091,24.27,10.35315141,4.945715069,-0.477701414,-0.106564869,-45.67,-0.047196188,75.53,27043.17,-4559.66,-5.86015065,0.529918296,2.111497301,1.083758218,1.183841091,11.1091122
2,8,19251,29.64521324,22881.24,1.1885741,19.09,10.07891833,4.808312599,-0.477066332,-0.076559659,-45.67,-0.076839645,75.53,27441.04,-4559.8,-5.78512306,0.548836998,2.066827816,1.089795522,1.1885741,15.52480917
1,5,20428,30.57568044,23982.82,1.174017035,24.27,9.693637201,4.599257125,-0.474461446,-0.10422802,-45.67,-0.026687879,53.59,28726.96,-4744.14,-5.223891171,0.569248577,2.103750654,1.07686253,1.174017035,11.26392914
2,7,20297,30.9158989,23877.69,1.176414741,17.7,9.598966669,4.553105976,-0.474332929,-0.096874415,-45.67,-0.044601665,75.53,28570.74,-4693.05,-5.884479483,0.576847364,2.061775559,1.079945,1.176414741,12.14370938
3,8,20646,31.483096,24195.55,1.171924344,17.24,9.447763863,4.448003077,-0.470799561,-0.095542478,-45.67,-0.015565727,75.53,28912.02,-4716.47,-6.366160029,0.589320782,2.111225887,1.077791796,1.171924344,12.26600323
2,6,21657,32.29440827,25407.46,1.173175417,17.7,9.253821419,4.32570632,-0.46745081,-0.10312601,-45.67,-0.027477952,75.53,30253.99,-4846.53,-5.85472354,0.608137752,2.123886362,1.080470923,1.173175417,11.37613504
4,8,21577,31.80238217,24700.26,1.144749502,16.45,9.214176554,4.309593413,-0.467713353,-0.104283728,-45.67,0.028374658,75.53,29572.43,-4872.17,-5.715928095,0.595931931,2.053715705,1.051584002,1.144749502,10.97725909
1,4,22182,32.3280137,25835.48,1.164704716,26.66,9.205959507,4.292068052,-0.466227127,-0.103744928,-19.12,-0.011992607,57.43,30778.42,-4942.94,-4.982827928,0.608862072,2.090401962,1.072035191,1.164704716,11.22661835
3,7,21721,32.47548455,25093,1.155241471,17.24,9.082145161,4.245935639,-0.467503609,-0.112084158,-45.67,0.013098384,75.53,29950.83,-4857.83,-6.399940939,0.611492525,2.095651992,1.063208626,1.155241471,10.30691125
5,8,22142,32.59868124,25442.96,1.149081384,29.83,8.970146688,4.208694929,-0.469189086,-0.120393822,-45.67,0.072031885,75.53,30378.36,-4935.4,-6.239080895,0.614563224,2.081779956,1.055739413,1.149081384,9.544355081
6,8,22319,33.21833415,26192.48,1.173550786,19.5,8.963360358,4.198339628,-0.468389026,-0.127822483,-45.67,0.099309557,75.53,31126.49,-4934.01,-5.28339228,0.629258085,2.121683939,1.081820492,1.173550786,9.181098333
4,7,22618,32.73498983,25656.09,1.134321779,16.33,8.901078059,4.142816045,-0.465428571,-0.123283668,-45.67,0.060207799,75.53,30673.41,-5017.32,-6.049787302,0.616917193,2.047677148,1.043079835,1.134321779,9.200908755
7,8,22642,33.20819716,26299.7,1.161544917,19.28,8.899885987,4.164309084,-0.467905891,-0.131955216,-45.67,0.110388217,75.53,31311.44,-5011.74,-6.915425938,0.628473062,2.118916894,1.07036919,1.161544917,8.802569175
8,8,22877,33.26922236,26306.01,1.149888971,17.71,8.817586965,4.12243332,-0.467523976,-0.15127508,-45.67,0.142105608,75.53,31375.84,-5069.83,-6.477757146,0.629229818,2.09750077,1.059519123,1.149888971,7.601311288
9,8,23011,33.60132111,26846.71,1.166690279,25.08,8.767195696,4.130177186,-0.471094444,-0.147448177,-45.67,0.162085959,76.42,31934.53,-5087.82,-6.3154348,0.637695489,2.106289454,1.074993611,1.166690279,7.912544615
10,8,23017,34.27901117,27332.09,1.187474041,30.72,8.762927624,4.100025349,-0.467883055,-0.15033497,-45.67,0.171052266,75.53,32349.2,-5017.11,-7.270601194,0.65386978,2.108721739,1.097950777,1.187474041,7.898854421
3,6,23147,34.13833326,26975.66,1.165406316,16.22,8.760496033,4.043639585,-0.461576556,-0.122048646,-45.67,0.042014948,75.53,31952.84,-4977.18,-6.205070811,0.650690011,2.172459664,1.076429145,1.165406316,9.54870339
2,5,23179,33.84097675,26879.02,1.159628112,17.7,8.760379849,4.06836308,-0.464404872,-0.111415505,-45.67,0.004018724,50.56,31912.24,-5033.22,-5.512375291,0.643530277,2.118447547,1.069528077,1.159628112,10.4081394
11,8,23245,34.20520542,27163.08,1.168555818,21.92,8.724126361,4.052673877,-0.464536357,-0.153349538,-45.67,0.189893741,75.53,32222.81,-5059.73,-7.85077742,0.651343942,2.138549763,1.080584683,1.168555818,7.620210907
12,8,23129,34.32487354,27235.77,1.177559341,26.13,8.68153504,4.06843809,-0.468631189,-0.156337066,-45.67,0.220248606,75.53,32299.33,-5063.56,-7.675732463,0.654234726,2.123823929,1.088712103,1.177559341,7.532182681
5,7,23138,33.77128533,26606.37,1.1498993,18.71,8.675336859,4.052226772,-0.46709734,-0.134343072,-45.67,0.092956608,75.53,31664.1,-5057.73,-6.437441457,0.641482726,2.098008791,1.059136501,1.1498993,8.559423889
7,7,23586,34.39752395,27613.63,1.170763589,19.29,8.668761055,4.033452484,-0.465285922,-0.145718223,-45.67,0.136598406,75.53,32723.4,-5109.77,-7.009313745,0.656226983,2.147133716,1.082168698,1.170763589,8.034435001
4,6,23909,34.26324815,27540.36,1.151882555,16.33,8.668388225,3.988918457,-0.460168414,-0.134914886,-45.67,0.094995608,75.53,32677.22,-5136.86,-6.125262283,0.65285585,2.125430504,1.064233261,1.151882555,8.537846284
