Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Units,Cumulative PnL,Duration,MAE,MFE
2023-06-14 01:05:00,2023-06-14 01:20:00,Long,1944.46,1944.15,-0.30999999999994543,Bearish Trade Reversal,1944.15,1,-0.30999999999994543,15.0,-0.30999999999994543,2.25
2023-06-14 01:20:00,2023-06-14 01:35:00,Short,1946.6,1946.6,0.0,SL Hit,1946.6,1,-0.30999999999994543,15.0,0.3000000000001819,-1.199999999999818
2023-06-14 01:40:00,2023-06-14 01:45:00,Short,1946.8,1946.8,0.0,SL Hit,1946.8,1,-0.30999999999994543,5.0,0.3500000000001364,-1.0499999999999545
2023-06-14 01:50:00,2023-06-14 02:25:00,Short,1947.55,1947.55,0.0,SL Hit,1947.55,1,-0.30999999999994543,35.0,0.21000000000003638,-1.3099999999999454
2023-06-14 02:30:00,2023-06-14 03:30:00,Short,1947.7350000000001,1947.65,0.17000000000007276,SL Hit,1947.65,2,-0.13999999999987267,60.0,0.2749999999998636,-1.4350000000001728
2023-06-14 03:35:00,2023-06-14 03:45:00,Short,1948.04,1948.12,-0.07999999999992724,SL Hit,1948.12,1,-0.2199999999997999,10.0,0.17000000000007276,-0.37999999999988177
2023-06-14 04:00:00,2023-06-14 04:25:00,Short,1949.14,1949.14,0.0,Bullish Trade Reversal,1949.14,1,-0.2199999999997999,25.0,-0.0,-1.540000000000191
2023-06-14 04:25:00,2023-06-14 04:40:00,Long,1948.02,1947.6,-0.42000000000007276,Bearish Trade Reversal,1947.6,1,-0.6399999999998727,15.0,-0.42000000000007276,1.3199999999999363
2023-06-14 04:40:00,2023-06-14 04:45:00,Short,1949.12,1949.12,0.0,SL Hit,1949.12,1,-0.6399999999998727,5.0,0.17000000000007276,-0.8199999999999363
2023-06-14 04:50:00,2023-06-14 05:30:00,Short,1949.17,1949.36,-0.1899999999998272,Bullish Trade Reversal,1949.36,1,-0.8299999999996999,40.0,0.1899999999998272,-3.1200000000001182
2023-06-14 05:30:00,2023-06-14 05:55:00,Long,1946.75,1946.05,-0.7000000000000455,SL Hit,1946.05,1,-1.5299999999997453,25.0,-0.7000000000000455,1.2300000000000182
2023-06-14 06:05:00,2023-06-14 06:45:00,Long,1945.87,1945.58,-0.2899999999999636,SL Hit,1945.58,1,-1.819999999999709,40.0,-0.34999999999990905,1.7600000000002183
2023-06-14 06:50:00,2023-06-14 06:55:00,Long,1946.37,1945.6,-0.7699999999999818,SL Hit,1945.6,1,-2.5899999999996908,5.0,-0.8699999999998909,0.2400000000000091
2023-06-14 07:10:00,2023-06-14 07:15:00,Long,1945.43,1945.11,-0.3200000000001637,SL Hit,1945.11,1,-2.9099999999998545,5.0,-0.6300000000001091,0.8099999999999454
2023-06-14 07:20:00,2023-06-14 07:35:00,Long,1945.73,1945.73,0.0,Bearish Trade Reversal,1945.73,1,-2.9099999999998545,15.0,0.0,4.7999999999999545
2023-06-14 07:35:00,2023-06-14 07:40:00,Short,1950.28,1950.53,-0.25,SL Hit,1950.53,1,-3.1599999999998545,5.0,0.4500000000000455,-1.1099999999999
2023-06-14 07:50:00,2023-06-14 08:25:00,Short,1950.75,1951.37,-0.6199999999998909,Bullish Trade Reversal,1951.37,1,-3.7799999999997453,35.0,0.6199999999998909,-2.1900000000000546
2023-06-14 08:25:00,2023-06-14 08:35:00,Long,1949.5,1948.98,-0.5199999999999818,Bearish Trade Reversal,1948.98,1,-4.299999999999727,10.0,-0.5199999999999818,1.1600000000000819
2023-06-14 08:35:00,2023-06-14 08:45:00,Short,1950.37,1950.49,-0.12000000000011823,SL Hit,1950.49,1,-4.419999999999845,10.0,0.41000000000008185,-1.0299999999999727
2023-06-14 09:30:00,2023-06-14 09:35:00,Long,1951.66,1951.66,0.0,Bearish Trade Reversal,1951.66,1,-4.419999999999845,5.0,0.0,1.099999999999909
2023-06-14 09:35:00,2023-06-14 09:50:00,Short,1952.69,1952.76,-0.06999999999993634,Bullish Trade Reversal,1952.76,1,-4.489999999999782,15.0,0.06999999999993634,-1.7899999999999636
2023-06-14 09:50:00,2023-06-14 09:55:00,Long,1951.18,1951.18,0.0,Bearish Trade Reversal,1951.18,1,-4.489999999999782,5.0,0.0,0.8699999999998909
2023-06-14 09:55:00,2023-06-14 10:15:00,Short,1951.81,1952.05,-0.2400000000000091,Bullish Trade Reversal,1952.05,1,-4.729999999999791,20.0,0.2400000000000091,-2.509999999999991
2023-06-14 10:15:00,2023-06-14 10:30:00,Long,1950.0,1949.3,-0.7000000000000455,SL Hit,1949.3,1,-5.429999999999836,15.0,-1.1700000000000728,0.5699999999999363
2023-06-14 10:35:00,2023-06-14 10:50:00,Long,1948.78,1948.02,-0.7599999999999909,SL Hit,1948.02,1,-6.189999999999827,15.0,-0.7699999999999818,0.17000000000007276
2023-06-14 11:10:00,2023-06-14 11:15:00,Long,1947.14,1947.12,-0.020000000000209184,SL Hit,1947.12,1,-6.210000000000036,5.0,-1.1400000000001,0.37999999999988177
2023-06-14 11:20:00,2023-06-14 11:25:00,Long,1946.97,1946.78,-0.19000000000005457,SL Hit,1946.78,1,-6.400000000000091,5.0,-0.9200000000000728,0.7899999999999636
2023-06-14 11:30:00,2023-06-14 11:35:00,Long,1946.23,1945.92,-0.30999999999994543,SL Hit,1945.92,1,-6.710000000000036,5.0,-0.40000000000009095,0.32999999999992724
2023-06-14 11:40:00,2023-06-14 11:45:00,Long,1946.16,1946.14,-0.01999999999998181,SL Hit,1946.14,1,-6.730000000000018,5.0,-0.8600000000001273,0.5
2023-06-14 11:50:00,2023-06-14 12:45:00,Long,1952.99,1953.19,0.40000000000009095,Bearish Trade Reversal,1953.19,2,-6.329999999999927,55.0,-6.8599999999999,6.710000000000036
2023-06-14 12:45:00,2023-06-14 14:15:00,Short,1958.88,1958.56,0.6400000000003274,SL Hit,1958.56,2,-5.6899999999996,90.0,0.8199999999999363,-3.910000000000082
2023-06-14 14:25:00,2023-06-14 15:15:00,Short,1958.32,1959.17,-0.8500000000001364,Bullish Trade Reversal,1959.17,1,-6.539999999999736,50.0,0.8500000000001364,-2.480000000000018
2023-06-14 15:15:00,2023-06-14 15:20:00,Long,1956.85,1956.85,0.0,SL Hit,1956.85,1,-6.539999999999736,5.0,-0.049999999999954525,1.2699999999999818
2023-06-14 15:30:00,2023-06-14 15:40:00,Short,1958.34,1958.91,-0.5700000000001637,Bullish Trade Reversal,1958.91,1,-7.1099999999999,10.0,0.5700000000001637,-2.439999999999827
2023-06-14 15:40:00,2023-06-14 15:45:00,Long,1956.64,1956.64,0.0,SL Hit,1956.64,1,-7.1099999999999,5.0,-0.7300000000000182,0.6699999999998454
2023-06-14 15:50:00,2023-06-14 16:20:00,Long,1955.44,1955.44,0.0,SL Hit,1955.44,1,-7.1099999999999,30.0,-0.2899999999999636,1.9400000000000546
2023-06-14 16:25:00,2023-06-14 17:00:00,Long,1954.1,1954.1,0.0,SL Hit,1954.1,1,-7.1099999999999,35.0,-0.029999999999972715,2.1400000000001
2023-06-14 17:05:00,2023-06-14 17:45:00,Long,1954.52,1954.16,-0.35999999999989996,SL Hit,1954.16,1,-7.4699999999998,40.0,-1.0299999999999727,1.1100000000001273
2023-06-14 17:50:00,2023-06-14 18:00:00,Long,1950.705,1953.62,5.829999999999927,SL Hit,1953.62,2,-1.6399999999998727,10.0,-7.404999999999973,3.384999999999991
2023-06-14 18:10:00,2023-06-14 19:10:00,Long,1946.29,1948.63,4.680000000000291,SL Hit,1948.63,2,3.0400000000004184,60.0,-4.740000000000009,6.309999999999945
2023-06-14 19:20:00,2023-06-14 19:25:00,Long,1944.22,1944.22,0.0,SL Hit,1944.22,1,3.0400000000004184,5.0,-0.5199999999999818,1.6800000000000637
2023-06-14 19:30:00,2023-06-14 20:25:00,Long,1943.55,1943.55,0.0,SL Hit,1943.55,1,3.0400000000004184,55.0,-0.15999999999985448,3.3199999999999363
2023-06-14 20:45:00,2023-06-14 20:50:00,Long,1941.15,1940.54,-0.6100000000001273,SL Hit,1940.54,1,2.430000000000291,5.0,-1.1400000000001,0.4199999999998454
2023-06-14 20:55:00,2023-06-14 22:50:00,Long,1942.085,1943.84,3.5099999999997635,SL Hit,1943.84,2,5.940000000000055,115.0,-2.4249999999999545,3.0349999999998545
2023-06-14 23:05:00,2023-06-14 23:15:00,Long,1943.05,1942.93,-0.11999999999989086,SL Hit,1942.93,1,5.820000000000164,10.0,-0.30999999999994543,0.5
2023-06-14 23:20:00,2023-06-15 00:00:00,Long,1943.5,1944.18,1.3600000000001273,Bearish Trade Reversal,1944.18,2,7.180000000000291,40.0,-1.2999999999999545,1.6600000000000819
2023-06-15 00:00:00,2023-06-15 00:25:00,Short,1944.8,1945.08,-0.2799999999999727,Bullish Trade Reversal,1945.08,1,6.900000000000318,25.0,0.2799999999999727,-3.2000000000000455
